time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,0,5,5,10,3326,0,3326
1,1,27,38,65,39,40481,40520
2,3,0,0,0,0,0,0
3,2,0,0,0,0,0,0
4,2,11,11,22,1635,4136,5771
6,0,1,1,2,0,40,40
7,2,0,0,0,0,0,0
12,0,3,1,4,0,0,0
13,0,6,6,12,560,147,707
14,0,11,11,22,2813,4552,7365
16,2,0,0,0,0,0,0
17,2,0,0,0,0,0,0
21,0,3,0,3,1613,0,1613
22,0,38,43,81,4805,13794,18599
23,6,315,1222,1537,2922,1707052,1709974
24,2,120,554,674,2850,776506,779356
25,2,7,7,14,496,1559,2055
26,0,3,1,4,1557,0,1557
27,2,5,7,12,39,1913,1952
28,4,3,3,6,1517,0,1517
29,2,3,5,8,39,1731,1770
31,0,32,50,82,3543,42801,46344
33,2,7,8,15,1628,1626,3254
35,0,7,8,15,1556,1903,3459
37,2,8,8,16,1564,1463,3027
38,2,0,1,1,0,0,0
39,2,7,8,15,1788,1753,3541
41,0,9,9,18,1612,1784,3396
43,0,8,8,16,1556,1938,3494
45,2,8,8,16,1748,1751,3499
46,2,0,0,0,0,0,0
47,0,8,8,16,1628,1709,3337
49,2,8,8,16,1556,1856,3412
51,1,10,11,21,3265,1508,4773
52,0,4,5,9,39,1264,1303
53,2,3,3,6,1581,0,1581
54,0,5,5,10,39,2516,2555
55,0,4,4,8,1532,0,1532
56,2,6,7,13,39,4491,4530
57,0,9,9,18,1580,3086,4666
58,2,0,0,0,0,0,0
59,0,10,9,19,1732,5080,6812
61,0,30,51,81,3344,47510,50854
63,0,10,14,24,1611,8579,10190
65,3,10,10,20,1740,4134,5874
66,10,0,0,0,0,0,0
67,2,11,11,22,1580,6784,8364
69,0,10,11,21,1580,4468,6048
70,3,0,0,0,0,0,0
71,4,9,11,20,1620,7058,8678
72,2,35,392,427,1749,543019,544768
73,1,95,260,355,1659,357017,358676
74,1,0,0,0,0,0,0
75,0,14,14,28,1620,8786,10406
76,2,0,0,0,0,0,0
77,3,30,41,71,3296,41385,44681
78,1,0,0,0,0,0,0
79,2,8,8,16,1748,2469,4217
81,1,10,12,22,1659,5901,7560
82,0,2,2,4,0,0,0
83,6,19,19,38,1959,11989,13948
84,0,91,472,563,3884,640765,644649
85,0,84,316,400,1667,435431,437098
87,5,6,8,14,1820,2151,3971
88,2,0,0,0,0,0,0
89,2,7,8,15,1628,2271,3899
90,2,0,0,0,0,0,0
91,2,9,9,18,1668,3057,4725
93,0,8,8,16,1820,2761,4581
95,0,8,8,16,1636,1782,3418
96,1,0,0,0,0,0,0
97,0,10,9,19,3297,2188,5485
98,1,15,39,54,39,40399,40438
99,0,5,9,14,1516,3981,5497
100,2,0,0,0,0,0,0
101,0,9,11,20,1780,5434,7214
102,0,3,3,6,1549,0,1549
103,0,8,10,18,39,7595,7634
104,1,9,10,19,1612,4458,6070
106,1,12,11,23,1588,7699,9287
107,2,3,0,3,1741,0,1741
108,1,8,10,18,39,4960,4999
109,3,0,0,0,0,0,0
110,2,12,14,26,1556,7818,9374
111,0,3,0,3,1645,0,1645
112,1,4,8,12,39,2174,2213
113,2,3,3,6,1781,0,1781
114,2,4,5,9,39,2208,2247
115,1,3,3,6,1653,0,1653
116,0,8,10,18,39,7449,7488
117,0,4,4,8,1580,0,1580
118,0,5,5,10,39,2142,2181
119,8,3,0,3,1621,0,1621
120,0,4,8,12,39,2361,2400
121,1,3,0,3,1845,0,1845
122,2,5,8,13,39,2534,2573
123,1,0,0,0,0,0,0
124,1,8,8,16,1612,2736,4348
125,2,4,0,4,1580,0,1580
126,0,8,14,22,39,8325,8364
128,0,19,21,40,17804,785,18589
129,0,19,39,58,39,40767,40806
130,3,0,0,0,0,0,0
131,3,0,0,0,0,0,0
134,2,0,0,0,0,0,0
137,39,0,0,0,0,0,0
141,1,0,0,0,0,0,0
142,6,0,0,0,0,0,0
143,2,0,0,0,0,0,0
144,0,2,2,4,0,0,0
145,0,3,2,5,0,0,0
146,2,14,13,27,2333,3970,6303
147,2,0,0,0,0,0,0
151,2,0,0,0,0,0,0
152,4,0,0,0,0,0,0
155,2,0,0,0,0,0,0
158,0,27,43,70,2373,41779,44152
161,0,1,1,2,0,40,40
164,2,0,0,0,0,0,0
165,4,0,0,0,0,0,0
169,0,7,9,16,1667,706,2373
172,2,0,0,0,0,0,0
173,2,0,0,0,0,0,0
174,2,0,0,0,0,0,0
176,2,0,0,0,0,0,0
178,0,15,14,29,2067,6943,9010
184,2,0,0,0,0,0,0
185,2,0,0,0,0,0,0
189,0,4,4,8,3391,0,3391
190,0,11,13,24,1587,4664,6251
193,2,0,0,0,0,0,0
194,2,0,0,0,0,0,0
197,2,0,0,0,0,0,0
198,1,0,0,0,0,0,0
199,1,0,0,0,0,0,0
200,1,1,1,2,0,40,40
201,1,0,0,0,0,0,0
202,1,0,0,0,0,0,0
204,1,0,0,0,0,0,0
206,106,2,2,4,0,0,0
207,5,6,5,11,561,147,708
208,1,4,4,8,1593,419,2012
210,0,4,1,5,1981,33,2014
211,8,26,45,71,39,46460,46499
214,2,25,27,52,4586,7457,12043
215,3,10,12,22,1420,9868,11288
216,3,2,2,4,1437,0,1437
217,2,16,18,34,1371,10431,11802
218,2,0,0,0,0,0,0
219,0,7,8,15,1620,740,2360
220,0,14,13,27,1484,10022,11506
221,0,2,2,4,1381,0,1381
222,0,9,11,20,39,10171,10210
223,0,26,26,52,4573,1686,6259
224,1,2,2,4,0,169,169
225,1,9,10,19,1668,6249,7917
226,1,0,0,0,0,0,0
227,3,0,0,0,0,0,0
228,3,0,0,0,0,0,0
229,1,0,0,0,0,0,0
230,0,2,2,4,0,36,36
231,1,0,0,0,0,0,0
232,5,0,0,0,0,0,0
234,3,0,0,0,0,0,0
235,2,8,9,17,3377,2700,6077
236,2,4,6,10,39,2167,2206
aggregate,395,4541,4346,8887,175404,5088667,5264071
average,1.67373,19.2415,18.4153,37.6568,743.237,21562.1,22305.4
